traditional,tra_transfer_2,tra_transfer_7
0.003304761333023,0.0006678593831992,0.003177226944845159
0.0267266802002947,0.0083810535451326,0.0030320099134367303
0.0250345096635219,0.003792614448109,0.0002213032130859016
0.6117993045047587,0.1986432515982834,0.2409569563940971
0.0014975828138386,0.0002603640770603,0.0007218325969878317
0.0270649274993275,0.0022335702761977,0.0032176097983792665
0.0012091588405066,0.0044516863153639,0.0003301661760463989
0.0017506504709717,0.0044516863153639,0.0027582894694481884
0.0165833236755244,0.0049186968916887,0.0027582894694481884
0.0131399486331525,0.0019731092726037,0.00482730697846147
0.0250618906852111,0.0061621312145701,0.0030320099134367303
0.0014975828138386,0.001597050098713,0.0005200875656982542
0.0007328063116909,0.0042686054837868,0.0030320099134367303
0.0017506504709717,0.0129775481730433,0.0027582894694481884
0.0076926661617919,0.0044516863153639,0.0027582894694481884
0.0026293790001692,0.0092111695708261,0.0008780007756941488
0.0038100445927787,0.0022335702761977,0.0013993108875769566
0.0012091588405066,0.0034799277351062,0.0004918176177004758
0.0093525423070972,0.0041706953330698,0.004399586336455669
0.0038997017051972,0.0029704383793592,0.0027582894694481884
0.0065113364539391,0.0044516863153639,0.002425008777235026
0.0003134431180708,0.0044516863153639,0.0027582894694481884
0.0017037727326748,0.0007939716017313,0.0013041511808872086
0.0109081654176548,0.0041706953330698,0.10655255626662774
0.0047771131875249,0.0044516863153639,0.0027582894694481884
0.0022749644384061,0.0011792867142526,0.0030320099134367303
0.0017199823058059,0.0044516863153639,0.0027582894694481884
0.0003851642997326,0.0044516863153639,0.001979024070284195
0.0004145584984818,0.0003238931973225,0.0018933668546093913
0.0018846547482957,0.0017971539440724,0.0030320099134367303
0.0036808294579674,0.0061621312145701,0.001461628839658412
0.0028323841475546,0.0017971539440724,0.0021204238236113304
0.0045615535316393,0.0084906839629582,0.0030320099134367303
0.0012608480771347,0.0003197836765546,0.00045560266472578076
0.0119036451140041,0.0071637317359323,0.003816015284526199
0.0001616386857078,0.0017971539440724,0.0006457931941545952
0.0027720352657838,0.0005305000719491,0.0008131868039556716
0.0016968579747112,0.0004545129512942,0.0030320099134367303
0.0017775144324542,0.0034799277351062,0.0027582894694481884
0.0761045767494735,0.0044516863153639,0.029973762713016414
